gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,71.15,69.65,1
1,0,0,0,0,1,2,0,0,2,0,0,0,0,0,1,3,55.9,114.1,1
0,0,0,0,9,1,2,1,0,0,0,0,0,0,0,1,2,78.0,837.95,1
0,0,1,1,68,1,2,1,0,2,2,0,2,2,1,1,2,108.0,7397.0,0
1,0,0,0,17,1,0,0,0,2,0,2,0,2,1,1,0,66.85,1231.85,0
0,0,0,0,10,1,0,2,1,1,1,1,1,1,1,0,3,21.2,260.9,0
0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,2,70.75,69.25,1
1,0,0,0,0,0,1,0,0,2,2,2,0,0,0,1,1,41.9,77.15,1
1,1,1,0,69,1,2,2,1,1,1,1,1,1,2,0,0,25.45,1756.2,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,3,71.45,69.95,1
1,1,1,0,30,1,2,1,0,0,2,2,2,2,0,1,2,106.4,3351.55,1
0,0,1,1,70,0,1,0,0,2,0,2,2,2,2,0,1,55.15,3784.0,0
1,0,1,1,0,1,0,2,1,1,1,1,1,1,0,0,3,21.2,19.7,0
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,71.65,194.2,0
1,0,0,1,32,1,2,1,2,2,0,0,2,2,1,1,2,105.3,3470.8,0
1,0,0,0,34,1,2,1,0,0,0,0,0,2,0,1,2,86.25,3050.15,1
1,0,0,0,27,1,0,1,0,0,0,2,2,2,0,1,2,95.7,2607.6,0
1,0,1,0,57,1,2,1,2,2,2,2,2,2,2,0,2,115.25,6561.25,0
1,1,1,0,34,1,2,1,0,0,0,0,0,2,0,1,1,86.75,3132.75,1
1,1,1,0,0,0,1,0,0,2,0,0,2,0,0,0,2,41.7,40.2,1
0,0,0,0,19,1,0,1,0,2,0,2,2,2,0,1,0,100.65,1956.4,0
0,0,1,1,67,1,0,0,0,2,2,2,0,0,1,0,0,60.6,4134.7,0
0,0,1,0,61,1,0,1,0,2,0,0,2,2,1,1,2,97.5,6109.75,0
1,0,1,1,57,1,2,1,0,0,2,0,2,2,2,1,1,101.0,5861.75,0
0,0,1,0,63,1,2,1,2,2,0,2,2,0,1,1,0,101.65,6643.5,0
0,0,0,1,65,1,2,1,0,2,0,2,2,2,1,1,0,108.1,7244.7,0
1,1,0,0,18,1,2,1,0,0,2,0,2,2,0,1,2,100.05,1842.8,1
1,0,0,0,12,1,0,2,1,1,1,1,1,1,0,0,1,21.1,300.4,0
1,0,1,1,4,1,0,2,1,1,1,1,1,1,1,0,3,20.95,113.5,0
1,0,0,1,14,1,2,0,2,2,0,0,0,2,0,1,2,70.6,1083.7,0
1,0,1,0,30,1,2,1,0,2,0,0,2,2,0,1,1,100.35,3145.9,0
1,0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,21.2,19.7,1
0,0,0,0,56,1,0,0,2,2,2,2,0,0,2,1,1,66.4,3795.45,0
0,0,1,0,69,1,0,0,2,0,2,2,2,2,2,0,0,83.35,5924.4,0
1,0,0,0,31,1,0,0,0,2,2,0,2,0,0,1,1,67.9,2245.4,0
0,0,0,0,9,1,0,0,0,0,0,0,2,2,0,1,2,66.4,716.1,0
1,0,0,0,19,1,2,1,0,0,0,0,0,0,0,1,2,75.2,1558.7,0
0,0,0,0,6,1,0,2,1,1,1,1,1,1,2,0,3,21.5,141.6,0
0,0,1,1,63,1,2,0,2,2,2,2,2,2,2,0,0,93.05,5963.95,0
0,0,0,1,39,1,0,0,0,0,0,0,0,0,0,0,0,46.7,1841.9,0
1,0,0,0,25,1,0,0,2,0,2,2,2,0,1,0,1,70.85,1927.3,0
0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,3,76.4,136.05,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,72.1,70.6,1
1,0,0,0,63,1,2,0,0,2,2,2,0,2,2,1,1,75.7,4805.65,0
0,0,0,0,9,1,0,0,0,2,0,0,0,0,0,0,2,52.6,531.15,0
0,0,1,1,70,0,1,0,2,2,2,2,2,2,2,1,1,66.7,4784.45,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,71.1,69.6,1
0,0,1,0,70,1,2,1,2,2,2,2,2,2,2,1,0,117.0,8312.75,0
1,0,0,0,0,1,0,2,1,1,1,1,1,1,0,1,3,21.6,20.1,1
1,0,0,0,8,1,2,1,0,0,0,0,2,0,0,1,0,87.55,834.1,1
1,0,1,1,3,1,2,0,0,0,0,2,0,0,0,1,3,57.2,259.4,0
1,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,1,53.25,201.1,1
0,0,1,1,49,1,0,0,2,2,0,2,0,2,1,1,1,71.25,3562.5,0
0,1,1,0,58,1,2,1,0,0,2,0,2,2,1,1,1,102.0,6029.0,0
